episodio,recompensa,epsilon,tubos_pasados
8684,2.10,0.6478,2
8685,-3.90,0.6477,0
8686,-5.10,0.6477,0
8687,-5.10,0.6477,0
8688,-6.90,0.6476,0
8689,1.50,0.6476,1
8690,-1.50,0.6476,0
8691,-6.90,0.6475,0
8692,-4.50,0.6475,0
8693,-5.70,0.6475,0
8694,0.90,0.6475,0
8695,-5.70,0.6474,0
8696,-5.10,0.6474,0
8697,-4.50,0.6474,0
8698,1.50,0.6473,1
8699,-6.90,0.6473,0
8700,-5.70,0.6473,0
8701,-5.70,0.6472,0
8702,-5.70,0.6472,0
8703,-6.90,0.6472,0
8704,-3.30,0.6471,0
8705,-6.90,0.6471,0
8706,-3.90,0.6471,0
8707,-6.90,0.6470,0
8708,-7.50,0.6470,0
8709,-7.50,0.6470,0
8710,-1.50,0.6469,0
8711,-6.30,0.6469,0
8712,0.30,0.6469,0
8713,-7.50,0.6468,0
8714,3.30,0.6468,3
8715,-6.90,0.6468,0
8716,-5.10,0.6467,0
8717,-5.70,0.6467,0
8718,-7.50,0.6467,0
8719,-6.30,0.6466,0
8720,-5.70,0.6466,0
8721,-6.90,0.6466,0
8722,-6.30,0.6465,0
8723,-6.30,0.6465,0
8724,-5.10,0.6465,0
8725,-2.10,0.6464,0
8726,0.90,0.6464,0
8727,-5.70,0.6464,0
8728,-6.90,0.6464,0
8729,-4.50,0.6463,0
8730,-5.70,0.6463,0
8731,-6.90,0.6463,0
8732,-0.30,0.6462,0
8733,-6.90,0.6462,0
8734,-3.90,0.6462,0
8735,-5.70,0.6461,0
8736,-3.30,0.6461,0
8737,-3.90,0.6461,0
8738,-4.50,0.6460,0
8739,-5.70,0.6460,0
8740,-8.10,0.6460,0
8741,2.70,0.6459,2
8742,-3.90,0.6459,0
8743,-1.50,0.6459,0
8744,0.90,0.6458,0
8745,3.90,0.6458,3
8746,-6.90,0.6458,0
8747,-1.50,0.6457,0
8748,-7.50,0.6457,0
8749,-8.10,0.6457,0
8750,-2.70,0.6456,0
8751,-4.50,0.6456,0
8752,-5.10,0.6456,0
8753,-6.90,0.6455,0
8754,-6.30,0.6455,0
8755,-3.90,0.6455,0
8756,-6.90,0.6454,0
8757,-5.10,0.6454,0
8758,-6.30,0.6454,0
8759,-5.10,0.6454,0
8760,-6.90,0.6453,0
8761,-5.70,0.6453,0
8762,-1.50,0.6453,0
8763,-3.90,0.6452,0
8764,-8.10,0.6452,0
8765,-1.50,0.6452,0
8766,-6.30,0.6451,0
8767,-6.30,0.6451,0
8768,-5.10,0.6451,0
8769,-5.10,0.6450,0
8770,-4.50,0.6450,0
8771,-6.90,0.6450,0
8772,-5.70,0.6449,0
8773,-7.50,0.6449,0
8774,-6.90,0.6449,0
8775,-6.90,0.6448,0
8776,-7.50,0.6448,0
8777,-6.90,0.6448,0
8778,-3.30,0.6447,0
8779,-5.10,0.6447,0
8780,-5.70,0.6447,0
8781,-6.90,0.6446,0
8782,-5.10,0.6446,0
8783,-6.90,0.6446,0
8784,-6.90,0.6445,0
8785,-5.70,0.6445,0
8786,-5.70,0.6445,0
8787,-5.10,0.6444,0
8788,-7.50,0.6444,0
8789,-5.10,0.6444,0
8790,-5.70,0.6444,0
8791,-6.30,0.6443,0
8792,-6.30,0.6443,0
8793,-2.70,0.6443,0
8794,-4.50,0.6442,0
8795,-3.90,0.6442,0
8796,-4.50,0.6442,0
8797,-5.70,0.6441,0
8798,-5.10,0.6441,0
8799,-5.10,0.6441,0
8800,-5.70,0.6440,0
8801,-5.10,0.6440,0
8802,-2.70,0.6440,0
8803,-6.30,0.6439,0
8804,-5.10,0.6439,0
8805,-3.90,0.6439,0
8806,-6.30,0.6438,0
8807,-4.50,0.6438,0
8808,-4.50,0.6438,0
8809,-4.50,0.6437,0
8810,-2.10,0.6437,0
8811,-6.90,0.6437,0
8812,-2.10,0.6436,0
8813,-5.70,0.6436,0
8814,-7.50,0.6436,0
8815,-1.50,0.6435,0
8816,-6.90,0.6435,0
8817,-6.90,0.6435,0
8818,-3.30,0.6434,0
8819,-2.70,0.6434,0
8820,-5.70,0.6434,0
8821,-2.10,0.6434,0
8822,-6.90,0.6433,0
8823,-5.10,0.6433,0
8824,-6.30,0.6433,0
8825,-6.30,0.6432,0
8826,-5.70,0.6432,0
8827,-7.50,0.6432,0
8828,-5.10,0.6431,0
8829,-3.30,0.6431,0
8830,-5.10,0.6431,0
8831,-4.50,0.6430,0
8832,-3.30,0.6430,0
8833,-6.30,0.6430,0
8834,-3.90,0.6429,0
8835,-6.90,0.6429,0
8836,-6.90,0.6429,0
8837,-5.10,0.6428,0
8838,-6.30,0.6428,0
8839,-6.30,0.6428,0
8840,-6.90,0.6427,0
8841,-4.50,0.6427,0
8842,3.30,0.6427,3
8843,-6.30,0.6426,0
8844,-5.10,0.6426,0
8845,-6.30,0.6426,0
8846,-7.50,0.6425,0
8847,-5.70,0.6425,0
8848,-6.30,0.6425,0
8849,-6.90,0.6425,0
8850,-6.30,0.6424,0
8851,2.10,0.6424,2
8852,-8.10,0.6424,0
8853,0.90,0.6423,0
8854,-5.10,0.6423,0
8855,-2.10,0.6423,0
8856,-5.70,0.6422,0
8857,-7.50,0.6422,0
8858,-6.30,0.6422,0
8859,-6.30,0.6421,0
8860,-5.70,0.6421,0
8861,-5.10,0.6421,0
8862,-3.90,0.6420,0
8863,-0.90,0.6420,0
8864,-6.90,0.6420,0
8865,-2.10,0.6419,0
8866,-3.30,0.6419,0
8867,-3.90,0.6419,0
8868,-6.30,0.6418,0
8869,-3.90,0.6418,0
8870,-6.30,0.6418,0
8871,-6.30,0.6417,0
8872,1.50,0.6417,1
8873,-0.90,0.6417,0
8874,-2.70,0.6417,0
8875,-2.10,0.6416,0
8876,-4.50,0.6416,0
8877,-7.50,0.6416,0
8878,1.50,0.6415,1
8879,-5.70,0.6415,0
8880,-6.90,0.6415,0
8881,-3.90,0.6414,0
